"subID","pure_cv_m","pure_oe_m","altrun_m","shuff_m","switch_altrun_m","switch_shuff_m","no_switch_altrun_m","no_switch_shuff_m"
"53",0.979166666666667,0.905263157894737,0.932203389830508,0.949152542372881,0.864406779661017,0.95,1,0.948275862068966
"54",0.916666666666667,0.905263157894737,0.920353982300885,0.958333333333333,0.929824561403509,0.934426229508197,0.910714285714286,0.983050847457627
"55",0.96875,0.936842105263158,0.983050847457627,0.982758620689655,0.96551724137931,0.966101694915254,1,1
"56",0.9375,0.978723404255319,0.904347826086957,0.95,0.859649122807018,0.934426229508197,0.948275862068966,0.966101694915254
"57",0.895833333333333,0.873684210526316,0.931623931623932,0.906779661016949,0.947368421052632,0.901639344262295,0.916666666666667,0.912280701754386
"58",0.96875,0.978947368421053,0.921739130434783,0.96551724137931,0.892857142857143,0.95,0.949152542372881,0.982142857142857
"59",0.979166666666667,0.968421052631579,0.93859649122807,0.974576271186441,0.907407407407407,0.950819672131147,0.966666666666667,1
"60",0.895833333333333,0.957894736842105,0.817391304347826,0.848739495798319,0.736842105263158,0.836065573770492,0.896551724137931,0.862068965517241
"61",0.978947368421053,1,0.991525423728814,0.991525423728814,0.983050847457627,0.983333333333333,1,1
"62",0.979166666666667,1,0.982905982905983,0.983193277310924,1,0.983606557377049,0.96551724137931,0.982758620689655
"63",0.989583333333333,1,0.991304347826087,0.982300884955752,1,0.96551724137931,0.982456140350877,1
"64",0.989583333333333,0.968421052631579,0.982608695652174,0.982905982905983,0.96551724137931,0.966101694915254,1,1
"65",0.968421052631579,0.947368421052632,0.921739130434783,0.905982905982906,0.896551724137931,0.9,0.947368421052632,0.912280701754386
"66",0.989583333333333,0.978947368421053,0.855932203389831,0.896551724137931,0.844827586206897,0.85,0.866666666666667,0.946428571428571
"67",1,0.989473684210526,1,0.957264957264957,1,0.949152542372881,1,0.96551724137931
"69",0.96875,0.989473684210526,0.965811965811966,0.974789915966387,0.947368421052632,0.983333333333333,0.983333333333333,0.966101694915254
"70",0.947916666666667,0.947368421052632,0.948717948717949,0.91304347826087,0.913793103448276,0.915254237288136,0.983050847457627,0.910714285714286
"71",0.979166666666667,0.91578947368421,0.805084745762712,0.982758620689655,0.793103448275862,0.967213114754098,0.816666666666667,1
"72",0.927083333333333,0.905263157894737,0.957264957264957,0.957264957264957,0.948275862068966,0.932203389830508,0.966101694915254,0.982758620689655
"73",0.989583333333333,0.978947368421053,0.982608695652174,0.983333333333333,0.982758620689655,0.983606557377049,0.982456140350877,0.983050847457627
"74",0.927083333333333,0.936842105263158,0.859649122807018,0.946902654867257,0.839285714285714,0.928571428571429,0.879310344827586,0.964912280701754
"75",0.989583333333333,0.989473684210526,0.958333333333333,0.939130434782609,0.949152542372881,0.932203389830508,0.967213114754098,0.946428571428571
"76",0.956521739130435,0.787234042553192,0.830508474576271,0.913793103448276,0.847457627118644,0.933333333333333,0.813559322033898,0.892857142857143
"77",0.96875,0.978947368421053,0.981981981981982,0.956896551724138,0.981818181818182,0.934426229508197,0.982142857142857,0.981818181818182
"78",0.958333333333333,0.968421052631579,0.939655172413793,0.957627118644068,0.912280701754386,0.967213114754098,0.966101694915254,0.947368421052632
"79",0.989583333333333,0.478723404255319,0.741379310344828,0.739130434782609,0.701754385964912,0.745762711864407,0.779661016949153,0.732142857142857
"80",0.989473684210526,0.978947368421053,0.991452991452991,0.982456140350877,0.982758620689655,0.966101694915254,1,1
"81",1,1,0.96551724137931,0.983050847457627,0.946428571428571,0.983333333333333,0.983333333333333,0.982758620689655
"82",0.958333333333333,0.936842105263158,0.974789915966387,0.956140350877193,0.949152542372881,0.932203389830508,1,0.981818181818182
"83",0.96875,0.989473684210526,0.956896551724138,0.957627118644068,0.949152542372881,0.967213114754098,0.964912280701754,0.947368421052632
"84",0.979166666666667,1,0.983193277310924,0.991071428571429,0.983050847457627,0.982142857142857,0.983333333333333,1
"85",0.979166666666667,0.989473684210526,1,0.973451327433628,1,0.964912280701754,1,0.982142857142857
